N,AppraisedValue,PropertySize,HouseSize,Age,Rooms,Baths,Garage
1,466,929,227,46,7,3.5,2
2,364,887,180,51,7,2.5,1
3,429,659,193,29,5,3,2
4,548.4,1864,251,18,8,2.5,1
5,405.9,1031,190,46,7,1.5,1
6,374.1,927,194,88,7,2,0
7,315,732,133,48,7,2,0
8,749.7,2029,278,7,9,2.5,1
9,217.7,902,94,52,5,1,0
10,635.7,526,297,15,8,2.5,2
11,350.7,713,207,54,8,2,0
12,455,1699,172,48,7,2,1
13,356.2,1020,195,46,6,2,0
14,271.7,464,171,12,5,3,1
15,304.3,685,124,64,5,1,1
16,288.4,693,125,52,8,1,0
17,396.7,1557,169,44,6,2,1
18,613.5,2648,230,46,6,2.5,2
19,314.1,697,149,52,6,3,0
20,363.5,581,193,78,11,2,0
21,364.3,1115,224,71,6,1,1
22,305.1,464,163,97,8,2,0
23,441.7,1471,175,45,7,2,2
24,353.1,596,190,41,10,2,2
25,463.3,923,277,40,6,2.5,2
26,320,1872,198,82,7,1,0
27,332.8,764,144,54,6,2,0
28,276.6,497,105,44,5,1,0
29,397,604,156,34,7,2,1
30,221.9,345,110,94,5,1,0
